intercept	RepIndel_num	Del_rep_mean	MMR_sum	maxcossim	auc
15.2096479378996	-2.72915051381779	-4.50821114274719	-43.4481079789	-13.3971688729314	1
7.16835723271131	37.6880448951789	0.891805733174757	-732.359789421582	-6.18021430713516	0.734375
15.5915157896586	-2.90576955384378	-4.28921082927372	-41.2900827746257	-14.4475028871152	1
18.0804199249932	-9.16090669262652	-10.3825619723402	-49.2304576208286	-8.17992339706462	0.8
14.7274674827764	-2.57669405299235	-4.22403052963391	-49.9398594262143	-12.9971692830519	1
16.3385621864754	-2.72303114730141	-5.24416902622614	-41.1573030450694	-14.3149585274819	1
22.3779048695441	-3.34766214123166	-8.60999909704552	-21.4644381526745	-18.7267987503418	0.523809523809524
13.3519394873702	-3.53943351968216	-2.12823316868525	-38.728567181846	-13.9582245255791	1
15.5010453856478	-3.30540940382477	-4.4380659099266	-35.8594915860679	-14.0347468745759	1
15.6930734469565	-3.24148086322911	-4.4925899145113	-35.4185355118382	-14.3098290803112	1
