RepIndel_num	Del_rep_mean	MMR_sum	maxcossim	MSI_status	glm_prob
col2348_231	1218	0.925712423	0	0.557352784	Non-MSI-H	0.974736402451209
col2348_1682	1229	0.881342028	915.6884806	0.546265743	Non-MSI-H	0.981657859924706
col2348_444	1247	0.891831932	1516.478029	0.620284046	Non-MSI-H	0.944294326681976
col2348_467	1266	0.944092016	0	0.503999398	Non-MSI-H	0.987164037836403
col2348_1183	1287	0.757718237	0	0.596520175	Non-MSI-H	0.979359159235581
col2348_55	1289	0.948014532	0	0.429929683	Non-MSI-H	0.995505832064328
col2348_1649	1293	0.926562142	0	0.568553189	Non-MSI-H	0.970268593200128
col2348_338	1297	0.910436318	0	0.555015668	Non-MSI-H	0.977169921736083
col2348_221	1315	0.930160737	0	0.571028659	Non-MSI-H	0.968706169928288
col2348_76	1318	0.809256172	0	0.561390221	Non-MSI-H	0.984195036877301
col2348_798	1320	0.609315804	0	0.529582029	Non-MSI-H	0.996002116201174
col2348_518	1328	0.931338914	0	0.566204398	Non-MSI-H	0.970603989970212
col2348_558	1336	0.918938809	0	0.606454855	Non-MSI-H	0.951174954154943
col2348_109	1337	0.907401675	0	0.50726983	Non-MSI-H	0.988614507015034
col2348_1165	1347	0.972371935	0	0.52186823	Non-MSI-H	0.981134735296849
col2348_95	1359	0.805003356	0	0.593054776	Non-MSI-H	0.975651873268055
col2348_1338	1364	0.948189751	0	0.565688842	Non-MSI-H	0.968515964583494
col2348_1123	1375	0.697718284	0	0.41069349	Non-MSI-H	0.998927000092536
col2348_1309	1383	0.958584762	0	0.424504518	Non-MSI-H	0.995633772508838
col2348_928	1385	0.945252321	0	0.548637816	Non-MSI-H	0.975574692013765
col2348_270	1400	0.652955499	1868.338807	0.640718351	Non-MSI-H	0.973948335557471
col2348_1446	1419	0.920983108	0	0.532209727	Non-MSI-H	0.98267219107492
col2348_148	1428	0.935032346	0	0.578287348	Non-MSI-H	0.964545349746384
col2348_973	1430	0.922053242	0	0.573454148	Non-MSI-H	0.968738642623544
col2348_645	1431	0.960973037	0	0.570297603	Non-MSI-H	0.964413074135491
col2348_1629	1445	0.981235177	0	0.566491111	Non-MSI-H	0.963067691279703
col2348_434	1447	0.960085244	0	0.58024355	Non-MSI-H	0.959260565981485
col2348_81	1456	0.968011416	0	0.56232796	Non-MSI-H	0.967154720187877
col2348_794	1464	0.965776654	0	0.562186811	Non-MSI-H	0.967543245021211
col2348_1586	1472	0.959260281	0	0.580986822	Non-MSI-H	0.958976699635726
col2348_1038	1475	0.907361735	1245.059024	0.525830358	Non-MSI-H	0.984329916028511
col2348_1633	1494	0.977979277	0	0.578569156	Non-MSI-H	0.95689666217552
col2348_185	1500	0.908873136	0	0.565469898	Non-MSI-H	0.973656756700593
col2348_1827	1508	0.89128251	0	0.57430842	Non-MSI-H	0.972419043080731
col2348_1021	1533	0.974881026	0	0.439077426	MSI-H	0.994181477319284
col2348_337	1539	0.947555873	0	0.53050662	Non-MSI-H	0.980897464566621
col2348_359	1543	0.944650733	1295.581972	0.525500079	Non-MSI-H	0.98147227741259
col2348_136	1551	0.682013335	0	0.516994874	Non-MSI-H	0.995332512729017
col2348_1160	1551	0.967711693	1138.830721	0.581451288	Non-MSI-H	0.955073584979225
col2348_41	1573	0.8883196	757.8715719	0.559452329	Non-MSI-H	0.977232506458085
col2348_701	1586	0.98194498	0	0.572671314	Non-MSI-H	0.959554966599715
col2348_1083	1589	0.890003074	1608.702433	0.583506768	Non-MSI-H	0.966618786556402
col2348_1545	1592	0.941123911	796.9622751	0.596001115	Non-MSI-H	0.951770884252758
col2348_1152	1593	0.939916138	0	0.583142352	Non-MSI-H	0.961156891932201
col2348_907	1599	0.938286737	0	0.475950249	Non-MSI-H	0.991620960695031
col2348_1124	1607	0.946596837	0	0.553587459	Non-MSI-H	0.973584158388503
col2348_1344	1633	0.959276495	1130.816859	0.564841046	Non-MSI-H	0.9656638832727
col2348_52	1650	0.839010804	0	0.573439194	Non-MSI-H	0.9784480869187
col2348_125	1659	0.977970476	0	0.571470674	Non-MSI-H	0.960894638518568
col2348_941	1684	0.952057511	0	0.298806233	Non-MSI-H	0.999313372375775
col2348_470	1686	0.915298676	1407.740134	0.559258762	Non-MSI-H	0.973628513128087
col2348_502	1690	0.970323857	0	0.552615554	Non-MSI-H	0.970988176509129
col2348_70	1730	0.883609458	773.2860502	0.55601403	Non-MSI-H	0.978728344896423
col2348_796	1735	0.949214699	0	0.60753695	Non-MSI-H	0.943198821110547
col2348_45	1759	0.946126453	0	0.539790068	Non-MSI-H	0.978292124374693
col2348_793	1789	0.962625671	0	0.492318846	Non-MSI-H	0.988124394245757
col2348_69	1792	0.973470772	0	0.569862563	Non-MSI-H	0.962472259156254
col2348_29	1794	0.992702601	0	0.510795823	Non-MSI-H	0.982255063832306
col2348_1104	1835	0.885231861	0	0.427657771	Non-MSI-H	0.996725104191046
col2348_1509	1847	0.970841563	0	0.53694032	Non-MSI-H	0.976669585658511
col2348_82	1849	0.81083286	0	0.538337699	Non-MSI-H	0.988499360413524
col2348_696	1862	0.965659883	0	0.533258731	Non-MSI-H	0.97836748314188
col2348_938	1865	0.959446418	0	0.492367647	Non-MSI-H	0.988278503848942
col2348_886	1873	0.977569674	0	0.551129991	Non-MSI-H	0.970597818223201
col2348_1108	1883	0.859553193	0	0.503562374	Non-MSI-H	0.991281066087437
col2348_1014	1889	0.85433499	0	0.578923452	Non-MSI-H	0.974975284917447
col2348_490	1900	0.971465127	0	0.595859264	Non-MSI-H	0.946589742043852
col2348_104	1979	0.888685762	1043.491296	0.558213736	Non-MSI-H	0.97723389881339
col2348_9	1997	0.804324652	0	0.557986573	Non-MSI-H	0.985180320864102
col2348_48	2014	0.919024321	0	0.597726612	Non-MSI-H	0.956437027340004
col2348_946	2019	0.966515346	0	0.536416154	Non-MSI-H	0.977251896766559
col2348_334	2037	0.968102014	0	0.535827636	Non-MSI-H	0.977274863580045
col2348_91	2087	0.918560383	0	0.585602123	Non-MSI-H	0.963264479103415
col2348_477	2090	0.986924619	1395.03356	0.478672273	Non-MSI-H	0.988399112909889
col2348_66	2165	0.947238315	0	0.576434488	Non-MSI-H	0.963258788188649
