type_4	background	EXO1	MLH1	MSH2	MSH6	PMS1	PMS2
C|[+T]Rep=3|A	0	0	0	0	1	0	3
C|[+T]Rep=3|C	0	0	3	1	1	0	3
C|[+T]Rep=3|G	0	0	3	2	1	0	5
C|[+T]Rep=4|A	0	0	3	0	2	0	2
C|[+T]Rep=4|C	0	0	1	0	3	0	4
C|[+T]Rep=4|G	0	0	1	1	4	0	2
C|[+T]Rep=5|A	0	0	5	1	8	0	8
C|[+T]Rep=5|C	0	0	7	4	6	0	9
C|[+T]Rep=5|G	0	0	2	0	5	0	11
C|[+T]Rep=6|A	0	0	12	6	11	0	12
C|[+T]Rep=6|C	0	0	20	5	12	0	23
C|[+T]Rep=6|G	0	1	13	16	12	0	23
C|[+T]Rep=7|A	0	0	12	12	29	0	20
C|[+T]Rep=7|C	0	0	21	12	17	0	25
C|[+T]Rep=7|G	0	0	23	20	36	0	35
C|[+T]Rep=8|A	0	0	26	18	23	0	37
C|[+T]Rep=8|C	0	2	34	17	30	0	38
C|[+T]Rep=8|G	0	0	44	22	45	1	67
C|[+T]Rep=9|A	0	0	21	13	25	0	33
C|[+T]Rep=9|C	0	3	20	18	19	0	48
C|[+T]Rep=9|G	0	0	32	22	28	0	71
Complex	0	2	3	2	3	2	1
Del_nMer_LongRep_g4	0	0	113	72	55	2	27
Del_nMer_ShortRep_leq4	4	1	53	36	24	16	16
Del_NonRep	3	0	8	7	11	2	5
Del_Spaced_long_g5	7	9	7	5	32	2	5
Del_Spaced_short_leq5	2	1	25	15	15	7	6
G|[-T]Rep=1|A	0	0	0	0	0	0	1
G|[-T]Rep=1|C	0	0	0	0	1	0	0
G|[-T]Rep=1|G	0	1	3	1	5	1	1
G|[-T]Rep=2|A	0	0	0	0	0	0	0
G|[-T]Rep=2|C	0	0	0	0	0	0	0
G|[-T]Rep=2|G	0	1	1	0	0	0	0
G|[-T]Rep=3|A	0	1	3	0	0	0	1
G|[-T]Rep=3|C	0	0	3	0	0	0	0
G|[-T]Rep=3|G	0	0	1	0	1	0	0
G|[-T]Rep=4|A	0	0	2	3	5	0	4
G|[-T]Rep=4|C	0	0	5	9	6	0	0
G|[-T]Rep=4|G	0	1	11	8	1	0	2
G|[-T]Rep=5|A	1	0	22	31	16	0	9
G|[-T]Rep=5|C	0	0	14	8	9	0	5
