count	simi_mean	simi_sd
10	0.7591500014019	0.0708760830405279
60	0.938354393882556	0.0306542077977277
110	0.964816832273517	0.0194552008573706
160	0.980493076011002	0.00703471708867979
210	0.981612981786047	0.0112607208952466
260	0.985091106874636	0.0076385113985602
310	0.988845926372604	0.00683721808525671
360	0.989348369542527	0.00618142291916509
410	0.990463003277145	0.00361692989742082
460	0.992722993987687	0.00322415133740874
510	0.993143670237598	0.00313145773339406
560	0.994009473402368	0.00352732464475435
610	0.994303284991262	0.00225179997687252
660	0.99321928941728	0.00294020313728501
710	0.994326098100296	0.0024708975576536
760	0.995180091925533	0.00170321108097293
810	0.995726993882283	0.00175508944136987
860	0.995937902481888	0.00159580494005425
910	0.99631624153564	0.00151836424995841
960	0.996284514088179	0.00175243085906598
1010	0.996673433283763	0.00215899262914421
1060	0.997256443695343	0.00131630182287982
1110	0.996733488267602	0.00140393037730973
1160	0.996379270096424	0.00145282273084322
1210	0.997535620795236	0.00108263836711038
1260	0.997122693829729	0.00198003076505579
1310	0.996729125171596	0.00163902540939838
1360	0.997145033719475	0.00161786174178232
1410	0.997540267718155	0.00122887278599212
1460	0.997372949743764	0.0012256191349205
1510	0.997519017368132	0.00099592928485429
1560	0.997540267870001	0.00139020566680348
1610	0.998143459717305	0.000742600791256243
1660	0.997957665548215	0.000805431561176995
1710	0.998060237742565	0.000877700321562957
1760	0.997848265831487	0.00108046200186457
1810	0.99839446992217	0.00104488218079845
1860	0.997932655305754	0.00100643681642472
1910	0.998363859948926	0.000806670148481567
1960	0.998102681322029	0.000910484682124529
2010	0.998086447855485	0.00102906934980581
2060	0.998308368876911	0.00121603402088241
2110	0.998576156995323	0.000821079314604617
2160	0.998333138255586	0.000911546258666731
2210	0.998373868606729	0.000791058524931495
2260	0.998446173707864	0.000774795324876162
2310	0.998335276675492	0.000727034373333197
2360	0.998516722256505	0.000692995033895446
2410	0.998659723961341	0.00068049913103051
2460	0.998755535615309	0.000646240115274568
2510	0.99848496520652	0.000771349834747474
2560	0.998718135677812	0.000599701654322988
2610	0.998563904798664	0.000625063302393789
2660	0.998893522397769	0.000476094827704221
2710	0.998921134884411	0.000368050253061358
2760	0.998483243284979	0.000703714623392054
2810	0.998727291075639	0.000521374884912374
2860	0.998598679694736	0.000517431634857709
2910	0.998777996107587	0.000705345846680645
2960	0.998669148592552	0.000622982297898064
3010	0.998660016480263	0.000567282530969172
3060	0.998771386492163	0.000562557574975794
3110	0.998890798691561	0.000432470390994455
3160	0.999164678880397	0.000258130953547105
3210	0.998944324397573	0.000429367831722384
3260	0.998844248852361	0.000485076174055633
3310	0.998947891415055	0.000573990118277954
3360	0.999016703223777	0.000324116523636702
3410	0.998891485075617	0.000464429338219989
3460	0.99893670294347	0.000519232812222618
3510	0.998958760668228	0.000740812188376001
3560	0.998945017724582	0.000691861811661154
3610	0.999015293420542	0.000372082710301226
3660	0.99901251440496	0.000529141820747545
3710	0.999083745149413	0.000482884573281222
3760	0.999058715387887	0.000504361173952056
3810	0.999015799128384	0.000480353151325149
3860	0.999232193822865	0.000386732517782675
3910	0.999055960438346	0.000421972863572888
3960	0.999105641844844	0.000569910805725053
4010	0.999094509047772	0.000455988980365017
4060	0.999197941572814	0.000320276098325958
4110	0.999130483398352	0.000455997177706905
4160	0.99913165072774	0.000497146263160429
4210	0.999273451901479	0.000469047689325023
4260	0.99931289050413	0.000256902720841784
4310	0.998934495443466	0.000675614458985007
4360	0.999155042500615	0.000397886862205451
4410	0.999150870934721	0.000417079631349958
4460	0.99935992747667	0.000297248081641711
4510	0.999336263010395	0.000247290770517966
4560	0.99929132901324	0.000360461434137501
4610	0.999303692166225	0.000281646216177606
4660	0.999099696237041	0.000389134356084258
4710	0.999195447783602	0.000443221993138224
4760	0.999233299127706	0.000442688914019095
4810	0.999130795126302	0.000335901472783433
4860	0.9992407296453	0.000504184390077749
4910	0.999351128909385	0.000253308767444325
4960	0.99912893263155	0.000569493056287277
5010	0.999340019486968	0.000237252841624627
5060	0.999177144095598	0.000725795412478141
5110	0.999340784605976	0.000266072207535171
5160	0.999284417465541	0.000431924665883324
5210	0.999292111270311	0.000285278691905538
5260	0.999355511889636	0.000199277877048513
5310	0.999279277540336	0.000341257686245061
5360	0.999330535714315	0.000400732775802868
5410	0.999426554026661	0.000247682581976562
5460	0.999432998451741	0.000187454798878701
5510	0.999388884479136	0.000310871454897387
5560	0.999353364779744	0.000278932745130456
5610	0.999499184127748	0.000238368468271914
5660	0.99931100876568	0.000350390268056481
5710	0.999397289295842	0.000244630383603673
5760	0.999335052556837	0.000381762594436485
5810	0.999292170210163	0.000310014446598577
5860	0.999425631969065	0.000244966108179305
5910	0.999476823498696	0.000276171891154902
5960	0.999457955118492	0.000252222230226778
6010	0.99943213209585	0.000248678825904759
6060	0.999406728800828	0.000237649849561648
6110	0.999423013323527	0.000229968260861835
6160	0.999474083891308	0.000317011844178216
6210	0.999473275305004	0.000256998216852775
6260	0.999378259772695	0.0002517614638698
6310	0.999417145974653	0.000300706125348007
6360	0.999470709257934	0.000254777479658482
6410	0.999415787101181	0.000295982205159947
6460	0.999445172967356	0.000282746633854603
6510	0.999504930600714	0.00025590013251513
6560	0.999452415341205	0.000270806531755327
6610	0.999531757543327	0.000175946268507086
6660	0.999530947310471	0.000240427317874528
6710	0.999524994977772	0.000222989008082653
6760	0.999500947313711	0.00018007855163437
6810	0.999381946337126	0.000297871550624426
6860	0.999519604050485	0.000222360903310029
6910	0.99947128749831	0.000263608667464618
6960	0.999513778372177	0.000194832826026321
7000	0.999536866925729	0.000237218175563032
